"Kommun_code","Year","Kommun_name","Productivity","EmployeeIndex","SalesIndex","Population","Percent_University","Infrast","Border","Patent"
2081,2011,"Borlänge",115.281487787652,191.912344534676,221.23940602774,49323,0.0924923463698477,1,0,35
2081,2012,"Borlänge",115.407788608975,183.688129050048,211.990407673861,49482,0.0949031971221858,1,0,19
2082,2001,"Säter",124.335001791575,12.7180017028767,15.8129276451243,11157,0.0583490185533746,0,0,48
2082,2002,"Säter",120.070508455405,12.6411108319141,15.1782460502904,11043,0.0618491351987685,0,0,48
2082,2003,"Säter",122.509463987659,11.4266201790015,13.9986911332004,11041,0.0659360565166199,0,0,48
2082,2004,"Säter",129.333751741197,10.0818528350691,13.039238516621,10980,0.0725865209471767,0,0,46
2082,2005,"Säter",133.373608863789,8.93714619501258,11.9197944097211,10989,0.0761670761670762,0,0,36
2082,2006,"Säter",151.244629111777,9.317109059196,14.0916270405208,10991,0.0774269857155855,0,0,38
2082,2007,"Säter",144.142734223651,8.13498889688174,11.7259954247558,11000,0.0804545454545455,0,0,38
2082,2008,"Säter",168.571060697642,7.36184368257013,12.4099379826108,10957,0.0828693985579994,0,0,36
2082,2009,"Säter",144.391539315467,8.43561339560314,12.1803120326131,10900,0.0854128440366972,0,0,23
2082,2010,"Säter",172.767266966069,7.81286682839723,13.4980764911205,10840,0.0855166051660517,0,0,39
2082,2011,"Säter",215.491404153831,6.99680422782674,15.0775116764385,10861,0.0864561274284136,0,0,35
2082,2012,"Säter",213.928108849819,6.57452088790845,14.0647482014388,10851,0.0887475808681227,0,0,19
2083,2001,"Hedemora",105.218440015942,32.0714825550804,33.7451136344406,15749,0.051812813511969,0,0,48
2083,2002,"Hedemora",108.031055381237,32.5441363970554,35.1577740144483,15584,0.0543506160164271,0,0,48
2083,2003,"Hedemora",110.83819082275,34.7992523633227,38.57086173935,15555,0.0563805850208936,0,0,48
2083,2004,"Hedemora",109.183606480214,34.6717377986522,37.8558537579321,15506,0.0588159422159164,0,0,46
2083,2005,"Hedemora",95.5441474842471,36.7416010239406,35.1044494703875,15494,0.0628630437588744,0,0,36
2083,2006,"Hedemora",91.0720347339732,37.0295360044969,33.7235518918446,15380,0.0643042912873862,0,0,38
2083,2007,"Hedemora",93.8042616167018,35.4775904669565,33.2794917769258,15301,0.0670544408862166,0,0,38
2083,2008,"Hedemora",108.436922780174,31.3960980580197,34.0449626071623,15259,0.0696638049675601,0,0,36
2083,2009,"Hedemora",100.473685982638,30.0390135550746,30.1813041516077,15195,0.0721948009213557,0,0,23
2083,2010,"Hedemora",92.9778039779226,31.2514673135889,29.0569280190532,15164,0.0744526510155632,0,0,39
2083,2011,"Hedemora",91.999614252867,28.9867603724251,26.667707727034,15119,0.0769892188636815,0,0,35
2083,2012,"Hedemora",91.3764890724338,28.8880463256584,26.3968824940048,15064,0.0775358470525757,0,0,19
2084,2001,"Avesta",104.000048641495,55.0191812798362,57.2199752931819,22330,0.0467980295566502,0,0,48
2084,2002,"Avesta",105.192100835628,54.3298805967371,57.1507427811956,22296,0.0500089702188733,0,0,48
2084,2003,"Avesta",120.075691868943,47.0049602818015,56.4415312710951,22249,0.0519573913434312,0,0,48
2084,2004,"Avesta",103.162991073786,52.8682526717038,54.5404707845763,22102,0.0534793231381775,0,0,46
2084,2005,"Avesta",104.793549821549,53.6228771700755,56.1933165029708,21954,0.0569827821809238,0,0,36
2084,2006,"Avesta",103.892338688931,51.1246497094345,53.1145942296552,21963,0.0590083321950553,0,0,38
2084,2007,"Avesta",99.4938646296416,51.2956244331154,51.0359991344134,21886,0.0612263547473271,0,0,38
2084,2008,"Avesta",103.1603311304,51.0998561496044,52.7147808110903,21937,0.0641837990609473,0,0,36
2084,2009,"Avesta",102.886092040225,51.2309203781752,52.7094918933436,21762,0.0660325337744693,0,0,23
2084,2010,"Avesta",102.716467345166,49.7556255913718,51.1072209129448,21583,0.0681554927489228,0,0,39
2084,2011,"Avesta",104.230937892179,50.7768078247997,52.9251430274982,21486,0.0690216885413758,0,0,35
2084,2012,"Avesta",103.863647050274,52.5961671032676,54.6282973621102,21467,0.0704802720454651,0,0,19
2085,2001,"Ludvika",99.804328024695,60.2722689397201,60.1543330005244,26131,0.0619187937698519,0,0,48
2085,2002,"Ludvika",99.0874199672888,59.709076695424,59.1641835837851,25975,0.0654860442733397,0,0,48
2085,2003,"Ludvika",92.6880113122436,63.6254987239855,58.9732094547589,26011,0.0671254469263004,0,0,48
2085,2004,"Ludvika",98.9794820265799,56.8026342658771,56.2229531738177,25782,0.0690404157939648,0,0,46
2085,2005,"Ludvika",101.488372925507,48.6577959506241,49.3820054117018,25537,0.0726005403923718,0,0,36
2085,2006,"Ludvika",93.2430480446392,49.2134478511379,45.88811882426,25477,0.0748518271382031,0,0,38
2085,2007,"Ludvika",90.06515302626,48.3579895536859,43.55369729195,25425,0.0777974434611603,0,0,38
2085,2008,"Ludvika",95.6627079079483,51.3163809637977,49.0906396303275,25522,0.081419951414466,0,0,36
2085,2009,"Ludvika",97.8806261268838,49.9964403690625,48.9368288743925,25650,0.0863157894736842,0,0,23
2085,2010,"Ludvika",96.5643893934349,50.57803262594,48.8403683724512,25810,0.0898488957768307,0,0,39
2085,2011,"Ludvika",94.0967245569679,51.7763512859179,48.7198506551581,25586,0.0916907683889627,0,0,35
2085,2012,"Ludvika",93.8202424660317,51.6000275747966,48.4112709832136,25639,0.0943484535278287,0,0,19
2101,2001,"Ockelbo",86.1766784820277,7.18843574510423,6.19475515994563,6137,0.0368258106566726,0,0,117
2101,2002,"Ockelbo",78.1508484334376,7.53087453816158,5.88544234603098,6101,0.0398295361416161,0,0,117
2101,2003,"Ockelbo",81.606140495871,6.75209374213723,5.51012310562145,5991,0.042897679853113,0,0,117
2101,2004,"Ockelbo",63.1271883498698,6.88516778980328,4.34641283887369,6047,0.0456424673391764,0,0,115
2101,2005,"Ockelbo",42.2105487393092,9.93016243890287,4.19157605616566,6051,0.0512312014543051,0,0,128
2101,2006,"Ockelbo",39.611688576894,10.0338097560572,3.9745614729674,6038,0.0568068896985757,0,0,92
2101,2007,"Ockelbo",32.0317187163669,12.2024833453226,3.90866514158527,5985,0.0563074352548037,0,0,127
2101,2008,"Ockelbo",35.8027031570213,11.0427655238552,3.95360856083176,6027,0.0593993695038991,0,0,83
2101,2009,"Ockelbo",34.9265670320599,10.4930800774576,3.66487264698093,5982,0.0611835506519559,0,0,56
2101,2010,"Ockelbo",34.0408499509696,10.8968932080277,3.7093950662621,5936,0.0636792452830189,0,0,51
2101,2011,"Ockelbo",37.7545586792426,10.5951606878519,4.0001561590551,5907,0.0619603859827324,0,0,34
2101,2012,"Ockelbo",37.301776226078,9.56293947332138,3.56714628297361,5850,0.065982905982906,0,0,53
2104,2001,"Hofors",91.8461968032137,14.3768714902085,13.204609683042,10501,0.0377106942195981,0,0,117
2104,2002,"Hofors",93.0216576495168,13.9859098565858,13.0099251859633,10372,0.0393366756652526,0,0,117
2104,2003,"Hofors",100.353497096274,13.5041874842745,13.5519243949068,10338,0.040820274714645,0,0,117
2104,2004,"Hofors",111.843207150886,12.7867401810632,14.3011003085521,10237,0.0438605060076194,0,0,115
2104,2005,"Hofors",130.651698478814,10.426670560848,13.6226221825384,10197,0.048249485142689,0,0,128
2104,2006,"Hofors",91.2269191467861,15.0507146340859,13.730303270251,10091,0.0509364780497473,0,0,92
2104,2007,"Hofors",95.8902624259683,15.1401182247521,14.5178990973167,10039,0.0513995417870306,0,0,127
2104,2008,"Hofors",72.5827789576969,12.5584392232079,9.11526418191767,9896,0.0527485852869846,0,0,83
2104,2009,"Hofors",90.723887534497,8.43561339560314,7.65311640987198,9873,0.054086903676694,0,0,56
2104,2010,"Hofors",107.003782841374,7.6072650697552,8.14006139540854,9741,0.0558464223385689,0,0,51
2104,2011,"Hofors",109.365938198373,7.5965303044976,8.3080166380375,9578,0.0567968260597202,0,0,34
2104,2012,"Hofors",109.044590952625,7.57066041637943,8.25539568345324,9521,0.0596575989917026,0,0,53
2121,2001,"Ovanåker",82.0121595697383,30.4126127677487,24.9420405124126,12333,0.0342982242763318,0,0,117
2121,2002,"Ovanåker",84.1239338743456,30.9303775674494,26.0198503719265,12193,0.0353481505782006,0,0,117
2121,2003,"Ovanåker",87.1200689077542,27.0083749685489,23.5297148834645,12051,0.0370093768152021,0,0,117
2121,2004,"Ovanåker",88.0675690553278,24.835783813219,21.8722710601386,11985,0.0409678765123071,0,0,115
2121,2005,"Ovanåker",96.8231659226422,24.0806439143395,23.3156418124215,11873,0.0456497936494568,0,0,128
2121,2006,"Ovanåker",108.259313469482,22.6955220672723,24.5700163783439,11816,0.0490859851049424,0,0,92
2121,2007,"Ovanåker",87.6674318955274,25.9867700872611,22.7819339680969,11795,0.0492581602373887,0,0,127
2121,2008,"Ovanåker",87.8820477657907,21.8690062335171,19.2189305040433,11647,0.0520305658109384,0,0,83
2121,2009,"Ovanåker",84.6297585776835,18.7229468048753,15.845184679594,11530,0.0549002601908066,0,0,56
2121,2010,"Ovanåker",105.958899609288,14.3921231049423,15.2497352724109,11440,0.0558566433566434,0,0,51
2121,2011,"Ovanåker",107.67343802455,14.1935171478771,15.2826478897233,11404,0.0588390038582953,0,0,34
2121,2012,"Ovanåker",106.698305221369,13.9459533985937,14.8800959232614,11392,0.0625877808988764,0,0,53
2132,2001,"Nordanstig",73.7037381754184,1.1059131915545,0.815099363150738,10097,0.0411013172229375,0,0,117
2132,2002,"Nordanstig",47.9873630731634,1.61375882960605,0.77440030868829,10021,0.0454046502345075,0,0,117
2132,2003,"Nordanstig",49.1527332716443,1.81787139211387,0.893533476587258,9971,0.0465349513589409,0,0,117
2132,2004,"Nordanstig",34.2108633638004,2.45898849635831,0.841241194620715,9872,0.0481158833063209,0,0,115
2132,2005,"Nordanstig",105.526371848273,0.744762182917715,0.785920510531065,9847,0.0513862089976643,0,0,128
2132,2006,"Nordanstig",67.2198351607898,0.716700696861231,0.48176502702635,9810,0.0522935779816514,0,0,92
2132,2007,"Nordanstig",74.1305490293063,0.903887655209083,0.670056881414616,9813,0.0569652501783349,0,0,127
2132,2008,"Nordanstig",73.2629388676084,1.94872332773915,1.42769198030036,9736,0.0589564502875924,0,0,83
2132,2009,"Nordanstig",75.674228569463,1.85172001366898,1.40127483561036,9646,0.0590918515446817,0,0,56
2132,2010,"Nordanstig",130.300808978989,1.02800879321016,1.33950377392798,9611,0.0602434710227864,0,0,51
2132,2011,"Nordanstig",96.9141235612467,1.79917823001259,1.74365781292145,9533,0.0632539599286688,0,0,34
2132,2012,"Nordanstig",95.9188531527719,1.59382324555356,1.52877697841727,9533,0.0649323402916186,0,0,53
2161,2001,"Ljusdal",126.241274618409,43.1306144706254,54.4486374584692,19858,0.0456239299023064,0,0,117
2161,2002,"Ljusdal",111.393616576392,49.2196443029846,54.8275418551308,19776,0.0469761326860841,0,0,117
2161,2003,"Ljusdal",111.009827192822,48.5631357607563,53.9098530874314,19771,0.0497698649537201,0,0,117
2161,2004,"Ljusdal",115.255849835263,45.9830848819005,52.9981952611051,19592,0.0512454062882809,0,0,115
